ano_campeonato,data,gols_mandante,gols_visitante,publico,publico_max,time_mandante,time_visitante
2012,2012-05-27,1,0,18277,,Grêmio,Palmeiras
2012,2012-07-01,0,1,34550,,Grêmio,Atlético-MG
2012,2012-07-18,3,1,15179,,Grêmio,Sport Recife
2012,2012-07-25,1,0,27405,,Grêmio,Fluminense
2012,2012-08-15,1,2,15798,,Grêmio,Portuguesa
2012,2012-09-13,2,0,17932,,Grêmio,Náutico
2012,2012-10-06,2,1,27843,,Grêmio,Cruzeiro
2012,2012-10-14,1,1,27529,,Grêmio,Botafogo
2012,2012-10-20,0,0,20676,,Grêmio,Coritiba FC
2012,2012-11-03,1,0,21833,,Grêmio,Ponte Preta
2012,2012-11-11,2,1,40217,,Grêmio,São Paulo
2012,2012-12-02,0,0,43104,45000,Grêmio,Internacional
2012,2012-05-20,4,2,7008,,Botafogo,São Paulo
2012,2012-07-15,1,1,17122,,Botafogo,Fluminense
2012,2012-07-22,0,1,34621,,Botafogo,Grêmio
2012,2012-07-28,1,0,5095,,Botafogo,Figueirense FC
2012,2012-08-08,1,2,5053,,Botafogo,Palmeiras
2012,2012-08-15,2,0,4094,,Botafogo,Sport Recife
2012,2012-08-26,0,0,19471,,Botafogo,Flamengo
2012,2012-09-13,1,1,11175,,Botafogo,Internacional
2012,2012-10-10,0,2,4634,,Botafogo,Santos FC
2012,2012-05-20,0,0,3952,,Cruzeiro,Atlético-GO
2012,2012-06-10,1,0,4574,,Cruzeiro,Sport Recife
2012,2012-06-16,1,0,17883,,Cruzeiro,Figueirense FC
2012,2012-07-15,1,3,15523,,Cruzeiro,Grêmio
2012,2012-09-02,3,0,11673,,Cruzeiro,Náutico
2012,2012-09-29,0,0,7395,,Cruzeiro,Internacional
2012,2012-11-03,0,4,16331,,Cruzeiro,Santos FC
2012,2012-11-11,3,1,7772,,Cruzeiro,EC Bahia
2012,2012-05-20,0,0,8908,,EC Bahia,Santos FC
2012,2012-06-10,1,2,17908,,EC Bahia,Vasco da Gama
2012,2012-07-29,0,0,24648,,EC Bahia,Corinthians
2012,2012-08-08,0,0,8166,,EC Bahia,Portuguesa
2012,2012-08-11,0,1,8946,,EC Bahia,Cruzeiro
2012,2012-09-02,1,0,25945,,EC Bahia,São Paulo
2012,2012-09-05,0,0,19629,,EC Bahia,Atlético-MG
2012,2012-09-16,2,1,22041,,EC Bahia,Figueirense FC
2012,2012-10-10,0,2,21993,,EC Bahia,Fluminense
2012,2012-10-17,0,1,18459,,EC Bahia,Palmeiras
2012,2012-11-18,1,0,24004,,EC Bahia,Ponte Preta
2012,2012-11-25,1,1,32157,,EC Bahia,Náutico
2012,2012-06-17,1,0,17373,,Flamengo,Santos FC
2012,2012-07-18,0,3,14897,,Flamengo,Corinthians
2012,2012-07-26,0,0,8184,,Flamengo,Portuguesa
2012,2012-09-05,0,1,4087,,Flamengo,Ponte Preta
2012,2012-09-16,1,1,15625,,Flamengo,Grêmio
2012,2012-09-30,0,1,30844,,Flamengo,Fluminense
2012,2012-10-04,0,0,30209,,Flamengo,EC Bahia
2012,2012-10-21,1,0,21631,,Flamengo,São Paulo
2012,2012-11-03,1,0,6776,,Flamengo,Figueirense FC
2012,2012-11-18,1,1,10623,,Flamengo,Palmeiras
2012,2012-05-26,0,0,12531,,Náutico,Cruzeiro
2012,2012-06-17,1,0,14006,19800,Náutico,Grêmio
2012,2012-06-30,0,2,14501,19800,Náutico,Fluminense
2012,2012-08-05,3,0,12266,,Náutico,Santos FC
2012,2012-08-18,1,0,14358,,Náutico,EC Bahia
2012,2012-08-29,3,2,12262,,Náutico,Figueirense FC
2012,2012-09-16,1,0,15013,19800,Náutico,Atlético-MG
2012,2012-10-21,0,0,13199,,Náutico,Portuguesa
2012,2012-11-11,0,1,19252,19800,Náutico,Flamengo
2012,2012-12-02,1,0,20100,,Náutico,Sport Recife
2012,2012-06-09,0,1,7268,,Palmeiras,Atlético-MG
2012,2012-06-17,1,1,6651,,Palmeiras,Vasco da Gama
2012,2012-07-15,1,1,8374,,Palmeiras,São Paulo
2012,2012-07-26,0,2,7515,,Palmeiras,EC Bahia
2012,2012-08-04,0,1,8387,,Palmeiras,Internacional
2012,2012-09-01,0,0,11586,,Palmeiras,Grêmio
2012,2012-09-06,3,1,29409,,Palmeiras,Sport Recife
2012,2012-09-16,0,2,24692,43600,Palmeiras,Corinthians
2012,2012-10-11,0,1,10655,,Palmeiras,Coritiba FC
2012,2012-10-20,2,0,9873,,Palmeiras,Cruzeiro
2012,2012-11-11,2,3,8461,,Palmeiras,Fluminense
2012,2012-05-27,0,0,5294,,Santos FC,Sport Recife
2012,2012-07-18,0,0,7069,,Santos FC,Botafogo
2012,2012-08-11,2,2,9432,,Santos FC,Atlético-GO
2012,2012-09-09,0,0,6379,20120,Santos FC,São Paulo
2012,2012-09-12,2,0,8015,,Santos FC,Flamengo
2012,2012-09-22,1,3,15774,,Santos FC,Portuguesa
2012,2012-10-25,0,0,6256,,Santos FC,Náutico
2012,2012-06-10,0,0,5728,,Fluminense,Internacional
2012,2012-07-19,4,0,7413,,Fluminense,EC Bahia
2012,2012-07-29,0,0,19761,,Fluminense,Atlético-MG
2012,2012-08-12,1,0,8536,,Fluminense,Palmeiras
